,시도명,지정사유,지정연도,도로폭,도로차로수,보차분리여부
375,전라남도,사유불분명,2004.0,7.0,2.0,N
376,전라남도,사유불분명,0.0,8.0,1.0,N
377,전라남도,사유불분명,2002.0,8.0,1.0,N
378,전라남도,사유불분명,0.0,4.0,1.0,N
380,전라남도,사유불분명,2002.0,7.0,1.0,N
381,전라남도,사유불분명,2002.0,4.0,1.0,N
382,전라남도,사유불분명,2008.0,9.0,1.0,N
384,전라남도,사유불분명,2010.0,6.0,1.0,N
385,전라남도,사유불분명,2011.0,5.0,1.0,N
386,전라남도,사유불분명,2012.0,8.0,1.0,N
387,전라남도,사유불분명,2014.0,5.0,1.0,N
388,전라남도,사유불분명,2002.0,8.0,1.0,N
389,전라남도,사유불분명,0.0,8.0,1.0,N
390,전라남도,사유불분명,2016.0,8.0,1.0,N
391,전라남도,사유불분명,2016.0,8.0,1.0,N
392,전라남도,사유불분명,2016.0,8.0,1.0,N
393,전라남도,사유불분명,2016.0,8.0,1.0,N
394,전라남도,사유불분명,2016.0,8.0,1.0,N
395,전라남도,사유불분명,2016.0,8.0,1.0,N
396,전라남도,사유불분명,2016.0,8.0,1.0,N
397,전라남도,사유불분명,2016.0,8.0,1.0,N
398,전라남도,사유불분명,2016.0,8.0,1.0,N
399,경기도,사유불분명,0.0,6.0,1.0,N
400,경기도,사유불분명,0.0,6.0,1.0,N
401,경기도,사유불분명,0.0,6.0,1.0,N
402,경기도,사유불분명,0.0,6.0,1.0,N
403,경기도,사유불분명,0.0,6.0,1.0,N
404,경기도,사유불분명,0.0,6.0,1.0,N
405,경기도,사유불분명,0.0,6.0,1.0,N
406,경기도,사유불분명,0.0,6.0,1.0,N
407,경기도,사유불분명,0.0,4.0,1.0,Y
408,경기도,사유불분명,0.0,4.0,1.0,N
409,경기도,사유불분명,0.0,6.0,1.0,N
410,경기도,사유불분명,0.0,8.0,1.0,N
411,경기도,사유불분명,0.0,8.0,1.0,N
412,경기도,사유불분명,0.0,8.0,1.0,N
413,경기도,사유불분명,0.0,6.0,1.0,N
414,경기도,사유불분명,0.0,8.0,1.0,N
415,경기도,사유불분명,0.0,8.0,1.0,Y
416,경기도,사유불분명,0.0,8.0,1.0,N
417,경기도,사유불분명,0.0,8.0,1.0,N
418,경기도,사유불분명,0.0,8.0,1.0,Y
420,경기도,사유불분명,0.0,10.0,2.0,Y
421,경기도,사유불분명,0.0,8.0,1.0,Y
422,경기도,사유불분명,0.0,6.0,1.0,N
423,경기도,사유불분명,0.0,6.0,1.0,N
424,경기도,사유불분명,0.0,6.0,1.0,N
425,경기도,사유불분명,0.0,6.0,1.0,N
426,경기도,사유불분명,0.0,6.0,1.0,N
427,경기도,사유불분명,0.0,4.0,1.0,N
428,경기도,사유불분명,0.0,6.0,1.0,N
429,경기도,사유불분명,0.0,6.0,1.0,N
430,경기도,사유불분명,0.0,5.0,1.0,N
431,경기도,사유불분명,0.0,6.0,1.0,N
432,경기도,사유불분명,0.0,6.0,1.0,N
433,경상북도,사유불분명,0.0,4.0,1.0,N
434,경상북도,사유불분명,0.0,4.0,1.0,N
435,경상북도,사유불분명,0.0,5.0,1.0,N
436,경상북도,사유불분명,0.0,5.0,1.0,N
437,경상북도,사유불분명,0.0,4.0,1.0,N
438,경상북도,사유불분명,0.0,4.0,1.0,N
439,경상북도,사유불분명,0.0,4.0,1.0,N
440,경상북도,사유불분명,0.0,6.0,1.0,N
441,경상북도,사유불분명,0.0,4.0,1.0,N
442,경상북도,사유불분명,0.0,5.0,1.0,N
443,경상북도,사유불분명,0.0,3.0,1.0,N
444,경상북도,사유불분명,0.0,4.0,1.0,N
445,경상북도,사유불분명,0.0,3.0,1.0,N
446,경상북도,사유불분명,0.0,4.0,1.0,N
447,경상북도,사유불분명,0.0,4.0,1.0,N
448,경상북도,사유불분명,0.0,5.0,1.0,N
449,경상북도,사유불분명,0.0,4.0,1.0,N
450,경상북도,사유불분명,0.0,3.0,1.0,N
451,경상북도,사유불분명,0.0,3.0,1.0,N
452,경상북도,사유불분명,0.0,3.0,1.0,N
453,경상북도,사유불분명,0.0,4.0,1.0,N
454,경상북도,사유불분명,0.0,4.0,1.0,N
455,경상북도,사유불분명,0.0,4.0,1.0,N
456,경상북도,사유불분명,0.0,4.0,1.0,N
457,경상북도,사유불분명,0.0,4.0,1.0,N
458,경상북도,사유불분명,0.0,2.0,1.0,N
459,경상북도,사유불분명,0.0,3.0,1.0,N
460,경상북도,사유불분명,0.0,3.0,1.0,N
461,경상북도,사유불분명,0.0,4.0,1.0,N
462,경상북도,사유불분명,0.0,2.0,1.0,N
463,경상북도,사유불분명,0.0,4.0,1.0,N
464,경상북도,사유불분명,0.0,4.0,1.0,N
465,경상북도,사유불분명,0.0,4.0,1.0,N
466,경상북도,사유불분명,0.0,3.0,1.0,N
467,경상북도,사유불분명,0.0,4.0,1.0,N
468,경상북도,사유불분명,0.0,4.0,1.0,N
469,경상북도,사유불분명,0.0,3.0,1.0,N
470,경상북도,사유불분명,0.0,4.0,1.0,N
471,경상북도,사유불분명,0.0,4.0,1.0,N
472,경상북도,사유불분명,0.0,4.0,1.0,N
473,경상북도,사유불분명,0.0,4.0,1.0,N
474,경상북도,사유불분명,0.0,4.0,1.0,N
475,경상북도,사유불분명,0.0,4.0,1.0,N
476,경상북도,사유불분명,0.0,7.0,1.0,N
477,경상북도,사유불분명,0.0,5.0,1.0,N
478,경상북도,사유불분명,0.0,5.0,1.0,N
479,경상북도,사유불분명,0.0,6.0,1.0,N
480,경상북도,사유불분명,0.0,4.0,1.0,N
481,경상북도,사유불분명,0.0,4.0,1.0,N
482,경상북도,사유불분명,0.0,6.0,1.0,N
483,경상북도,사유불분명,0.0,5.0,1.0,N
484,경상남도,사유불분명,0.0,4.9,1.0,Y
485,경상남도,사유불분명,0.0,4.6,1.0,N
486,경상남도,사유불분명,0.0,3.5,1.0,N
487,경상남도,사유불분명,0.0,2.8,1.0,Y
488,경상남도,사유불분명,0.0,4.8,1.0,N
489,경상남도,사유불분명,0.0,4.9,1.0,N
490,경상남도,사유불분명,0.0,5.6,1.0,N
491,경상남도,사유불분명,0.0,6.0,1.0,N
492,경상남도,사유불분명,0.0,8.1,2.0,Y
493,경상남도,사유불분명,0.0,6.4,1.0,N
494,경상남도,사유불분명,0.0,4.1,1.0,N
495,경상남도,사유불분명,0.0,6.6,1.0,N
496,경상남도,사유불분명,0.0,5.7,1.0,N
497,경상남도,사유불분명,0.0,4.7,1.0,N
498,경상남도,사유불분명,0.0,4.3,1.0,N
499,경상남도,사유불분명,0.0,5.7,1.0,N
500,경상남도,사유불분명,0.0,3.8,1.0,N
501,경상남도,사유불분명,0.0,3.0,1.0,Y
502,경상남도,사유불분명,0.0,9.1,1.0,Y
503,경상남도,사유불분명,0.0,4.7,1.0,Y
504,경상남도,사유불분명,0.0,7.1,1.0,N
505,경상남도,사유불분명,0.0,8.0,1.0,Y
506,경상남도,사유불분명,0.0,7.4,1.0,Y
507,경상남도,사유불분명,0.0,4.0,1.0,Y
508,경상남도,사유불분명,0.0,5.3,1.0,N
509,경상남도,사유불분명,0.0,6.5,1.0,N
510,경상남도,사유불분명,0.0,5.8,1.0,N
512,전라북도,사유불분명,0.0,6.0,1.0,N
513,전라북도,사유불분명,0.0,8.0,1.0,Y
514,전라북도,사유불분명,0.0,10.0,1.0,Y
515,전라북도,사유불분명,0.0,6.0,1.0,N
516,전라북도,사유불분명,0.0,6.0,1.0,Y
517,전라북도,사유불분명,0.0,4.0,1.0,N
518,전라북도,사유불분명,0.0,6.0,1.0,N
519,전라북도,사유불분명,0.0,6.0,1.0,N
520,전라북도,사유불분명,0.0,6.0,1.0,N
521,전라북도,사유불분명,0.0,8.0,1.0,N
522,전라북도,사유불분명,0.0,6.0,1.0,N
523,전라북도,사유불분명,0.0,6.0,1.0,Y
524,전라북도,사유불분명,0.0,6.0,1.0,N
525,전라북도,사유불분명,0.0,6.0,1.0,N
526,전라북도,사유불분명,0.0,6.0,1.0,N
527,전라북도,사유불분명,0.0,6.0,1.0,N
528,전라북도,사유불분명,0.0,8.0,1.0,Y
529,전라북도,사유불분명,0.0,6.0,1.0,Y
530,전라북도,사유불분명,0.0,6.0,1.0,Y
533,전라북도,사유불분명,0.0,8.0,1.0,Y
